old_name;new_name
P16_8_1;ind1_nivel_educacion
P16_1_2;ind2_nombre
P16_2_2;ind2_sexo
P16_4N_2;ind2_edad
P16_4M_2;ind2_edad_anos_meses
MAYOR64_2;ind2_mayor65
MENOR5_2;ind2_menor1_5
MENOR17_2;ind2_menor1_17
P16_6_2;ind2_parentesco
P16_8_2;ind2_nivel_educacion
P16_1_3;ind3_nombre
P16_2_3;ind3_sexo
P16_4N_3;ind3_edad
P16_4M_3;ind3_edad_anos_meses
MAYOR64_3;ind3_mayor65
MENOR5_3;ind3_menor1_5
MENOR17_3;ind3_menor1_17
P16_6_3;ind3_parentesco
P16_8_3;ind3_nivel_educacion
P16_1_4;ind4_nombre
P16_2_4;ind4_sexo
P16_4N_4;ind4_edad
P16_4M_4;ind4_edad_anos_meses
MAYOR64_4;ind4_mayor65
MENOR5_4;ind4_menor1_5
MENOR17_4;ind4_menor1_17
P16_6_4;ind4_parentesco
P16_8_4;ind4_nivel_educacion
P16_1_5;ind5_nombre
P16_2_5;ind5_sexo
P16_4N_5;ind5_edad
P16_4M_5;ind5_edad_anos_meses
MAYOR64_5;ind5_mayor65
MENOR5_5;ind5_menor1_5
MENOR17_5;ind5_menor1_17
P16_6_5;ind5_parentesco
P16_8_5;ind5_nivel_educacion
P16_1_6;ind6_nombre
P16_2_6;ind6_sexo
P16_4N_6;ind6_edad
P16_4M_6;ind6_edad_anos_meses
MAYOR64_6;ind6_mayor65
MENOR5_6;ind6_menor1_5
MENOR17_6;ind6_menor1_17
P16_6_6;ind6_parentesco
P16_8_6;ind6_nivel_educacion
P16_1_7;ind7_nombre
P16_2_7;ind7_sexo
P16_4N_7;ind7_edad
P16_4M_7;ind7_edad_anos_meses
MAYOR64_7;ind7_mayor65
MENOR5_7;ind7_menor1_5
MENOR17_7;ind7_menor1_17
P16_6_7;ind7_parentesco
P16_8_7;ind7_nivel_educacion
P16_1_8;ind8_nombre
P16_2_8;ind8_sexo
P16_4N_8;ind8_edad
P16_4M_8;ind8_edad_anos_meses
MAYOR64_8;ind8_mayor65
MENOR5_8;ind8_menor1_5
MENOR17_8;ind8_menor1_17
P16_6_8;ind8_parentesco
P16_8_8;ind8_nivel_educacion
P16_1_9;ind9_nombre
P16_2_9;ind9_sexo
P16_4N_9;ind9_edad
P16_4M_9;ind9_edad_anos_meses
MAYOR64_9;ind9_mayor65
MENOR5_9;ind9_menor1_5
MENOR17_9;ind9_menor1_17
P16_6_9;ind9_parentesco
P16_8_9;ind9_nivel_educacion
P16_1_10;ind10_nombre
P16_2_10;ind10_sexo
P16_4N_10;ind10_edad
P16_4M_10;ind10_edad_anos_meses
MAYOR64_10;ind10_mayor65
MENOR5_10;ind10_menor1_5
MENOR17_10;ind10_menor1_17
P16_6_10;ind10_parentesco
P16_8_10;ind10_nivel_educacion
P16_1_11;ind11_nombre
P16_2_11;ind11_sexo
P16_4N_11;ind11_edad
P16_4M_11;ind11_edad_anos_meses
MAYOR64_11;ind11_mayor65
MENOR5_11;ind11_menor1_5
MENOR17_11;ind11_menor1_17
P16_6_11;ind11_parentesco
P16_8_11;ind11_nivel_educacion
P16_1_12;ind12_nombre
P16_2_12;ind12_sexo
P16_4N_12;ind12_edad
P16_4M_12;ind12_edad_anos_meses
MAYOR64_12;ind12_mayor65
MENOR5_12;ind12_menor1_5
MENOR17_12;ind12_menor1_17
P16_6_12;ind12_parentesco
P16_8_12;ind12_nivel_educacion
P16_1_13;ind13_nombre
P16_2_13;ind13_sexo
P16_4N_13;ind13_edad
P16_4M_13;ind13_edad_anos_meses
MAYOR64_13;ind13_mayor65
MENOR5_13;ind13_menor1_5
MENOR17_13;ind13_menor1_17
P16_6_13;ind13_parentesco
P16_8_13;ind13_nivel_educacion
P16_1_14;ind14_nombre
P16_2_14;ind14_sexo
P16_4N_14;ind14_edad
P16_4M_14;ind14_edad_anos_meses
MAYOR64_14;ind14_mayor65
MENOR5_14;ind14_menor1_5
MENOR17_14;ind14_menor1_17
P16_6_14;ind14_parentesco
P16_8_14;ind14_nivel_educacion
P16_1_15;ind15_nombre
P16_2_15;ind15_sexo
P16_4N_15;ind15_edad
P16_4M_15;ind15_edad_anos_meses
MAYOR64_15;ind15_mayor65
MENOR5_15;ind15_menor1_5
MENOR17_15;ind15_menor1_17
P16_6_15;ind15_parentesco
P16_8_15;ind15_nivel_educacion
P16_1_16;ind16_nombre
P16_2_16;ind16_sexo
P16_4N_16;ind16_edad
P16_4M_16;ind16_edad_anos_meses
MAYOR64_16;ind16_mayor65
MENOR5_16;ind16_menor1_5
MENOR17_16;ind16_menor1_17
P16_6_16;ind16_parentesco
P16_8_16;ind16_nivel_educacion
P16_1_17;ind17_nombre
P16_2_17;ind17_sexo
P16_4N_17;ind17_edad
P16_4M_17;ind17_edad_anos_meses
MAYOR64_17;ind17_mayor65
MENOR5_17;ind17_menor1_5
MENOR17_17;ind17_menor1_17
P16_6_17;ind17_parentesco
P16_8_17;ind17_nivel_educacion
P16_1_18;ind18_nombre
P16_2_18;ind18_sexo
P16_4N_18;ind18_edad
P16_4M_18;ind18_edad_anos_meses
MAYOR64_18;ind18_mayor65
MENOR5_18;ind18_menor1_5
MENOR17_18;ind18_menor1_17
P16_6_18;ind18_parentesco
P16_1_19;ind19_nombre
P16_2_19;ind19_sexo
P16_4N_19;ind19_edad
P16_4M_19;ind19_edad_anos_meses
MAYOR64_19;ind19_mayor65
MENOR5_19;ind19_menor1_5
MENOR17_19;ind19_menor1_17
P16_6_19;ind19_parentesco
P16_1_20;ind20_nombre
P16_2_20;ind20_sexo
P16_4N_20;ind20_edad
P16_4M_20;ind20_edad_anos_meses
MAYOR64_20;ind20_mayor65
MENOR5_20;ind20_menor1_5
MENOR17_20;ind20_menor1_17
P16_6_20;ind20_parentesco
MAYOR64;nr_mayor65
MENOR5;nr_menor5
MENOR17;nr_menor17
CONTINUAR;continuar
P17;presencia_3_17
P18;nr_escuela_colegio
P19;nr_PAE
P20_1;fcs_cereales
P21_1;fcs_cereales_ayer
P20_1A;fcs_cereales_subgrupo
P21_1A;fcs_cereales_subgrupo_ayer
P20_1B;fcs_raices
P21_1B;fcs_raices_ayer
P20_2;fcs_leche
P21_2;fcs_leche_ayer
P20_3;fcs_carne
P21_3;fcs_carne_ayer
P20_3A;fcs_carne_frescas
P20_3B;fcs_visceras_rojo
P20_3C;fcs_pescado
P20_3D;fcs_huevos
P20_4;fcs_leguminosas
P21_4;fcs_leguminosas_ayer
P20_5;fcs_vegetales
P21_5;fcs_vegetales_ayer
P20_5A;fcs_vegetales_anaranjados
P20_5B;fcs_vegetales_verdes
P20_6;fcs_frutas
P21_6;fcs_frutas_ayer
P20_6A;fcs_frutas_naranja
P20_7;fcs_grasas
P21_7;fcs_grasas_ayer
P20_8;fcs_azucares
P21_8;fcs_azucares_ayer
P20_9;fcs_condimentos
P21_9;fcs_condimentos_ayer
P22;fuente_alimentos
P22_OTRA;fuente_alimentos_otra
T23_1;csi_alimentos_menos_preferidos
T23_2;csi_pedir_prestados_alimentos
T23_3;csi_reducir_numero_comidas
T23_4;csi_reducir_tamano_porciones
T23_5;csi_reducir_adultos
P24;nr_comidas_7d
P25;nr_comidas_ayer
P26A_1;lcs_gastar_ahorros
P26B_1;lcs_gastar_ahorros_no
P26A_2;lcs_enviar_miembros_comer_familia
P26B_2;lcs_enviar_miembros_comer_familia_no
P26A_3;lcs_comprar_credito
P26B_3;lcs_comprar_credito_no
P26A_4;lcs_vender_activos
P26B_4;lcs_vender_activos_no
P26A_5;lcs_reducir_gastos_salud_educacion
P26B_5;lcs_reducir_gastos_salud_educacion_no
P26A_6;lcs_sacar_ninos_escuela
P26B_6;lcs_sacar_ninos_escuela_no
P26A_7;lcs_vender_activos_produccion
P26B_7;lcs_vender_activos_produccion_no
P26A_8;lcs_vender_casa
P26B_8;lcs_vender_casa_no
P26A_9;lcs_pedir_ayuda
P26B_9;lcs_pedir_ayuda_no
P26A_10;lcs_actividades_riesgo
P26B_10;lcs_actividades_riesgo_no
P27;nr_miembros_ingreso
P28;nr_miembros_pension
P29;miembro_mayor_recursos
P29_TXT;miembro_mayor_recursos_nombre
P30;fuente_ingresos
P31;miembro_mayor_recursos_empleo
P31_OTRO;miembro_mayor_recursos_empleo_otro
P32;miembro_mayor_recursos_actividad_empresa
P33;miembro_mayor_recursos_pension
P34;ingreso
P35;deuda
P36;valor_deuda
P37;razon_deuda
P37_OTRO;razon_deuda_otro
P38;fuente_credito
P38_OTRO;fuente_credito_otro
P39;cambio_ingresos
P40;razon_cambio_ingresos
P40_OTRO;razon_cambio_ingresos_otra
P41_1;gastos_cereales
P41_2;gastos_tuberculos
P41_3;gastos_legumbres
P41_4;gastos_vegetales
P41_5;gastos_frutas
P41_6;gastos_carne
P41_7;gastos_pescado
P41_8;gastos_huevos
P41_9;gastos_aceite
P41_10;gastos_leche
P41_11;gastos_azucar
P41_12;gastos_condimentos
P41_13;gastos_bebidas_non_alcoholicas
P41_14;gastos_comida_fuera_casa
P41_15;gastos_agua_beber
P41_26;gastos_produccion_propia
P41_27;gastos_valor_assistencia
P41_16;gastos_agua_domestico
P41_17;gastos_renta
P41_18;gastos_electricidad
P41_19;gastos_basura
P41_20;gastos_higiene
P41_21;gastos_transporte
P41_22;gastos_comunicacion
P41_23;gastos_lena
P41_24;gastos_gasolina
P41_25;gastos_otros
CONTINUAR_P65;continuar_3
P42_1;gastos_medicos
P42_2;gastos_vestimenta
P42_3;gastos_educacion
P42_4;gastos_deudas
P42_5;gastos_insumos
P42_6;gastos_construccion
P42_7;gastos_seguros
P42_8;gastos_textiles
P43;ahorrado_dinero
P44;monto_ahorrado
T45_1;afectado_conflicto
T45_2;afectado_desastre_natural
P46_1;afectado_conflicto_desplazamiento
P46_1A;afectado_conflicto_desplazamiento_cuando
P46_2;afectado_conflicto_homicidio
P46_2A;afectado_conflicto_homicidio_cuando
P46_3;afectado_conflicto_desparicion
P46_3A;afectado_conflicto_desparicion_cuando
P46_4;afectado_conflicto_integridad_sexual
P46_4A;afectado_conflicto_integridad_sexual_cuando
P46_5;afectado_conflicto_tortura
P46_5A;afectado_conflicto_tortura_cuando
P46_6;afectado_conflicto_secuestro
P46_6A;afectado_conflicto_secuestro_cuando
P46_7;afectado_conflicto_lesiones_discapacidad
P46_7A;afectado_conflicto_lesiones_discapacidad_cuando
P46_8;afectado_conflicto_recrutamiento_menores
P46_8A;afectado_conflicto_recrutamiento_menores_cuando
P46_9;afectado_conflicto_confinamiento
P46_9A;afectado_conflicto_confinamiento_cuando
P46_10;afectado_conflicto_masacre
P46_10A;afectado_conflicto_masacre_cuando
P47_1;afectado_desastre_natural_inundaciones
P47_1A;afectado_desastre_natural_inundaciones_cuando
P47_2;afectado_desastre_natural_deslizamientos_tierra
P47_2A;afectado_desastre_natural_deslizamientos_tierra_cuando
P47_3;afectado_desastre_natural_terremotos
P47_3A;afectado_desastre_natural_terremotos_cuando
P47_4;afectado_desastre_natural_sequias
P47_4A;afectado_desastre_natural_sequias_cuando
P47_5;afectado_desastre_natural_sismos
P47_5A;afectado_desastre_natural_sismos_cuando
P47_6;afectado_desastre_natural_creciente_subita
P47_6A;afectado_desastre_natural_creciente_subita_cuando
P47_7;afectado_desastre_natural_vendaval
P47_7A;afectado_desastre_natural_vendaval_cuando
P47_8;afectado_desastre_natural_huracan
P47_8A;afectado_desastre_natural_huracan_cuando
P47_9;afectado_desastre_natural_tormenta_tropical
P47_9A;afectado_desastre_natural_tormenta_tropical_cuando
P47_10;afectado_desastre_natural_otro
P47_OTRO;afectado_desastre_natural_otro_cual
P47_10A;afectado_desastre_natural_otro_cuando
P48;perdido_fuentes_ingreso
P49_1;pertenencia_victimas_campesino
P49_1A;pertenencia_victimas_campesino_nr
P49_2;pertenencia_victimas_indigena
P49_2A;pertenencia_victimas_indigena_nr
P49_3;pertenencia_victimas_afro
P49_3A;pertenencia_victimas_afro_nr
P49_4;pertenencia_victimas_gitano
P49_4A;pertenencia_victimas_gitano_nr
T50_1;programas_victimas_familias_accion
T50_2;programas_victimas_ingreso_solidario
T50_3;programas_victimas_devolucion_iva
T50_4;programas_victimas_adulto_mayor
T50_5;programas_victimas_formacion_sena
T50_6;programas_victimas_red_juntos
T50_7;programas_victimas_icbf
T50_8;programas_victimas_jovenes_accion
T50_9;programas_victimas_ayudas_desastres_naturales
T50_10;programas_victimas_ayudas_desplazados
T50_11;programas_victimas_titulacion_baldios
T50_12;programas_victimas_adjudicacion_tierras
T50_13;programas_victimas_ley_tierras
T50_14;programas_victimas_ais
T50_15;programas_victimas_oportunidades_rurales
T50_16;programas_victimas_alianzas_productivas
T50_17;programas_victimas_familias_guardabosques
T50_18;programas_victimas_otros_rurales
T50_20;programas_victimas_ninguno
P51;asistencia_organizacion
P52;asistencia_organizacion_tipo
P52_OTRO;asistencia_organizacion_tipo_otro
P53;asistencia_gobierno
P54;asistencia_gobierno_tipo
P54_OTRO;asistencia_gobierno_tipo_otro
P55;asistencia_PMA
P56;asistencia_PMA_modalidad
P56_OTRO;asistencia_PMA_modalidad_otro
P57;asistencia_familia
P58;asistencia_familia_quien
P58_OTRO;asistencia_familia_quien_otro
P59;nr_hogares
P60;tipo_vivienda
P60_OTRO;tipo_vivienda_otro
P61;material_paredes_exteriores
P61_OTRO;material_paredes_exteriores_otro
P62;material_pisos
P62_OTRO;material_pisos_otro
P63;material_techo
P63_OTRO;material_techo_otro
T64_1;servicios_energia_electrica
T64_2;servicios_gas
T64_3;servicios_alcantarillado
T64_4;servicios_recoleccion_basura
T64_5;servicios_acueducto
P65;acueducto_24h
P66;nr_cuartos_total
P67;nr_cuartos_duermen
P70;tipo_servicio_sanitario
P70_OTRO;tipo_servicio_sanitario_otro
P71;servicio_sanitario_compartido
P72;eliminacion_basura
P73;fuente_agua
P73_OTRO;fuente_agua_otro
P68;lugar_preparacion_alimentos
P69;tipo_energia_cocinar
P74;acuerdo_ocupacion
P75;sexo_titulo_propiedad
T76_1;bienes_colchon
T76_2;bienes_cama
T76_3;bienes_mesa
T76_4;bienes_silla
T76_5;bienes_estufa_electrica
T76_6;bienes_equipo_sonido
T76_7;bienes_ventilador
T76_8;bienes_celular
T76_9;bienes_nevera
T76_10;bienes_licuadora
T76_11;bienes_horno
T76_12;bienes_lavadora
T76_13;bienes_televisor
T76_14;bienes_computador
T76_15;bienes_calentador
T77_1;servicios_telefono_fijo
T77_2;servicios_television_subscripcion
T77_3;servicios_internet
T78_1;transporte_bicicleta
T78_2;transporte_motocicleta
T78_3;transporte_carro_particular
T78_4;transporte_lancha
T79_1;elementos_productivos_tierra_agricola
T79_2;elementos_productivos_herramientas
T79_3;elementos_productivos_animales_mayores
T79_4;elementos_productivos_animales_menores
T79_5;elementos_productivos_maquinaria
