Indicator Group / Sector;research.question;sub.research.question;repeat.for.variable;independent.variable;independent.variable.type;dependent.variable;dependent.variable.type;hypothesis.type
situacion_socioeconomica;% de hogares por razon principal por la que disminuyeron o perdieron sus ingresos;Los salarios se han reducido en el sector en que trabaja o las ventas han disminuido;departamento;;categorical;so10_vi;numerical;direct_reporting
situacion_socioeconomica;cuota media del gasto en renta (en % del gasto total);cuota media del gasto en renta (en % del gasto total);departamento;;categorical;so11;numerical;direct_reporting
situacion_socioeconomica;cuota media del gasto en gastos medicos o cuidado de la salud (en % del gasto total);cuota media del gasto en gastos medicos o cuidado de la salud (en % del gasto total);departamento;;categorical;so12;numerical;direct_reporting
situacion_socioeconomica;cuota media del gasto en educacion (en % del gasto total);cuota media del gasto en educacion (en % del gasto total);departamento;;categorical;so13;numerical;direct_reporting
situacion_socioeconomica;cuota media del gasto en gastos pago de deudas (en % del gasto total);cuota media del gasto en gastos pago de deudas (en % del gasto total);departamento;;categorical;so14;numerical;direct_reporting
situacion_socioeconomica;% de hogares que declaran haber ahorrado dinero en los ultimos 6 meses;% de hogares que declaran haber ahorrado dinero en los ultimos 6 meses;departamento;;categorical;so15;numerical;direct_reporting
situacion_socioeconomica;Cuota media del ahorro;Cuota media del ahorro;departamento;;categorical;so16;numerical;direct_reporting
situacion_socioeconomica;% de hogares por rangos de ingresos pp;<100,000;departamento;;categorical;so19_i;numerical;direct_reporting
situacion_socioeconomica;% de hogares por rangos de ingresos pp;100,000-200,000;departamento;;categorical;so19_ii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por rangos de ingresos pp;200,000-300,000;departamento;;categorical;so19_iii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por rangos de ingresos pp;>300,000;departamento;;categorical;so19_iv;numerical;direct_reporting
situacion_socioeconomica;% de hogares por tipo de empleo de la persona que aporta la mayor parte de recursos en el hogar;Empleado domestico;departamento;;categorical;so20_i;numerical;direct_reporting
situacion_socioeconomica;% de hogares por tipo de empleo de la persona que aporta la mayor parte de recursos en el hogar;Jornalero o peon;departamento;;categorical;so20_ii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por tipo de empleo de la persona que aporta la mayor parte de recursos en el hogar;Obrero o empleado de empresa particular;departamento;;categorical;so20_iii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por tipo de empleo de la persona que aporta la mayor parte de recursos en el hogar;Obrero o empleado del gobierno;departamento;;categorical;so20_iv;numerical;direct_reporting
situacion_socioeconomica;% de hogares por tipo de empleo de la persona que aporta la mayor parte de recursos en el hogar;Patron o empleador;departamento;;categorical;so20_v;numerical;direct_reporting
situacion_socioeconomica;% de hogares por tipo de empleo de la persona que aporta la mayor parte de recursos en el hogar;Trabajador familiar sin renumeracion;departamento;;categorical;so20_vi;numerical;direct_reporting
situacion_socioeconomica;% de hogares por tipo de empleo de la persona que aporta la mayor parte de recursos en el hogar;Trabajador por cuenta propia;departamento;;categorical;so20_vii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por tipo de empleo de la persona que aporta la mayor parte de recursos en el hogar;Trabajador sin renumeracion en empresas o negocios de otros hogares;departamento;;categorical;so20_viii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Actividades financieras y de seguros, actividades inmobiliarias, empresariales y de alquiler;departamento;;categorical;so21_i;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Administracion publica, gobierno, defensa, seguridad social, educacion, servicios sociales y de salud;departamento;;categorical;so21_ii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Agricultura, ganaderia, caza, silvicultura y pesca;departamento;;categorical;so21_iii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Comercio, ventas, al por mayor y al por menor;departamento;;categorical;so21_iv;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Construccion;departamento;;categorical;so21_v;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Explotacion de minas y canteras;departamento;;categorical;so21_vi;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Industrias manufactureras;departamento;;categorical;so21_vii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Otra actividad economica;departamento;;categorical;so21_viii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Restaurantes y hoteles;departamento;;categorical;so21_ix;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Servicios a los hogares y servicio domestico;departamento;;categorical;so21_x;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Servicios comunitarios, sociales y personales;departamento;;categorical;so21_xi;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Suministro de electricidad, gas y agua;departamento;;categorical;so21_xii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por actividad a que se dedica principalmente la empresa o negocio en la que trabaja la persona que aporta la mayor parte de los recursos;Transporte, almacenamiento y comunicaciones;departamento;;categorical;so21_xiii;numerical;direct_reporting
situacion_socioeconomica;% de hogares según la fuente principal de los ingresos;Trabajo (cualquier actividad economica que genera ingresos);departamento;;categorical;so2_i;numerical;direct_reporting
situacion_socioeconomica;% de hogares según la fuente principal de los ingresos;Pension (sistema de proteccion social);departamento;;categorical;so2_ii;numerical;direct_reporting
situacion_socioeconomica;% de hogares según la fuente principal de los ingresos;Asistencia del gobierno;departamento;;categorical;so2_iii;numerical;direct_reporting
situacion_socioeconomica;% de hogares según la fuente principal de los ingresos;Asistencia de naciones unidas, ongs, organisaciones caritativas;departamento;;categorical;so2_iv;numerical;direct_reporting
situacion_socioeconomica;% de hogares según la fuente principal de los ingresos;Remesas de migrantes o ayuda de familiares amigos;departamento;;categorical;so2_v;numerical;direct_reporting
situacion_socioeconomica;% de hogares según la fuente principal de los ingresos;El hogar no recibe ingresos de ningun tipo;departamento;;categorical;so2_vi;numerical;direct_reporting
